class,present,past,participle,conjugation
1aL,bleiben,blieb,geblieben,,
1aL,gedeihen,gedieh,gediehen,,
1aL,leihen,lieh,geliehen,,
1aL,meiden,mied,gemieden,,
1aL,reiben,rieb,gerieben,,
1aL,scheiden,schied,geschieden,,
1aL,scheinen,schien,geschienen,,
1aL,schreien,schrie,geschrien,,
1aL,speiben,spieb,gespieb,,
1aL,speien,spie,gespien,,
1aL,steigen,stieg,gesteig,,
1aL,treiben,trieb,getrieb,,
1aL,zeihen,zeih,geziehen,,
1aL,preisen,pries,gepriesen,,
1aL,schweigen,schwieg,geschwiegen,,
1aL,weisen,wies,gewiesen,,
1aS,beißen,biss,gebissen,,
1aS,fleißen,fliss,flissen,,
1aS,bleichen,blich,geblichen,,
1aS,gleiten,glitt,geglitten,,
1aS,greifen,griff,gegriffen,,
1aS,keifen,kiff,gekiffen,,
1aS,kneifen,kniff,gekniffen,,
1aS,reißen,riss,gerissen,,
1aS,scheißen,schiss,geschissen,,
1aS,schleichen,schlich,geschlichen,,
1aS,schleifen,schliff,geschliffen,,
1aS,schleißen,schliss,geschlissen,,
1aS,schmeißen,schmissen,geschmissen,,
1aS,schreiten,schritt,geschritten,,
1aS,spleißen,spliss,gesplissen,,
1aS,streichen,strich,gestrichen,,
1aS,streiten,stritt,gestritten,,
1aS,weichen,wich,gewichen,,
1aS,gleichen,gliech,geglichen,,
1aS,pfeifen,pfiff,gepfiffen,,
1aSv,leiden,litt,gelitten,,
1aSv,schneiden,schnitt,geschnitten,,
2aL,biegen,bog,gebogen,,
2aL,bieten,bot,geboten,,
2aL,fliegen,flog,geflogen,,
2aL,fliehen,floh,geflohen,,
2aL,frieren,fror,geforen,,
2aL,klieben,klob,gekloben,,
2aL,schieben,schob,geschoben,,
2aL,stieben,stob,gestoben,,
2aL,verlieren,verlor,verloren,,
2aL,wiegen,wog,gewogen,,
2aLv,ziehen,zog,gezogen,,
2aS,fließen,floss,geflossen,,
2aS,genießen,genoss,genossen,,
2aS,gieß,goss,gegossen,,
2aS,kriechen,kroch,gekrochen,,
2aS,riechen,roch,gerochen,,
2aS,schießen,schoss,geschossen,,
2aS,schliefen,schloff,geschloffen,,
2aS,schließen,schloss,geschlossen,,
2aSv,sieden,sott,gesotten,,
2aS,sprießen,spross,gesprossen,,
2aS,triefen,troff,getroffen,,
2aSv,lügen.log,gelogen,,
2aSv,trügen,trog,getrogen,,
2bS,krauchen,kroch,gekrochen,,
2bS,saufen,soff,gesoffen,,
2bL,saugen,sog,gesogen,,
3a,binden,band,gebunden,,
3a,dingen,dang,gedungen,,
3a,dringen,drang,gedrungen,,
3a,finden,fand,gefunden,,
3a,gelingen,gelang,gelungen,,
3a,klingen,klang,geklungen,,
3a,ringen,rang,gerungen,,
3a,schlingen,schlang,geschlungen,,
3a,schwinden,schwand,geschwanden,,
3a,singen,sang,gesungen,,
3a,sinken,sank,gesunken,,
3a,springen,sprang,gesprungen,,
3a,stinken,stank,gestunken,,
3a,trinken,trank,getrunken,,
3a,winden,wand,gewunden,,
3a,winken,wank,gewunken,,
3a,wringen,wrang,gewrungen,,
3a,zwingen,zwang,gezwungen,,
3aO,beginnen,begann,begonnen,,
3aO,gewinnen,gewann,gewonnen,,
3aO,rinnen,rann,geronnen,,
3aO,schwimmen,schwamm,geschwommen,,
